Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Chicken pox,Itching, Skin Rash, Fatigue, High Fever, Headache, Loss Of Appetite, Mild Fever, Swelled Lymph Nodes, Malaise, Red Spots Over Body,,,,,,,
Chicken pox,Itching, Skin Rash, Fatigue, Lethargy, Headache, Loss Of Appetite, Mild Fever, Swelled Lymph Nodes, Malaise, Red Spots Over Body,,,,,,,
Chicken pox,Itching, Skin Rash, Fatigue, Lethargy, High Fever, Loss Of Appetite, Mild Fever, Swelled Lymph Nodes, Malaise, Red Spots Over Body,,,,,,,
Chicken pox,Itching, Skin Rash, Fatigue, Lethargy, High Fever, Headache, Mild Fever, Swelled Lymph Nodes, Malaise, Red Spots Over Body,,,,,,,
Chicken pox,Itching, Skin Rash, Fatigue, Lethargy, High Fever, Headache, Loss Of Appetite, Swelled Lymph Nodes, Malaise, Red Spots Over Body,,,,,,,
Chicken pox,Itching, Skin Rash, Fatigue, Lethargy, High Fever, Headache, Loss Of Appetite, Mild Fever, Malaise, Red Spots Over Body,,,,,,,
Dengue, Skin Rash, Chills, Joint Pain, Vomiting, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Muscle Pain, Red Spots Over Body,,,,
Dengue, Skin Rash, Chills, Joint Pain, Vomiting, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Red Spots Over Body,,,,
Dengue, Skin Rash, Chills, Joint Pain, Vomiting, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain,,,,
Dengue, Skin Rash, Chills, Joint Pain, Vomiting, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain, Red Spots Over Body,,,
Dengue, Chills, Joint Pain, Vomiting, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain, Red Spots Over Body,,,,
Dengue, Skin Rash, Joint Pain, Vomiting, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain, Red Spots Over Body,,,,
Dengue, Skin Rash, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain, Red Spots Over Body,,,,
Dengue, Skin Rash, Chills, Joint Pain, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain, Red Spots Over Body,,,,
Dengue, Skin Rash, Chills, Joint Pain, Vomiting, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain, Red Spots Over Body,,,,
Dengue, Skin Rash, Chills, Joint Pain, Vomiting, Fatigue, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain, Red Spots Over Body,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Nausea, Constipation, Abdominal Pain, Diarrhoea, Toxic Look (Typhos), Belly Pain,,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Constipation, Abdominal Pain, Diarrhoea, Toxic Look (Typhos), Belly Pain,,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Abdominal Pain, Diarrhoea, Toxic Look (Typhos), Belly Pain,,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Constipation, Diarrhoea, Toxic Look (Typhos), Belly Pain,,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Constipation, Abdominal Pain, Toxic Look (Typhos), Belly Pain,,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Constipation, Abdominal Pain, Diarrhoea, Belly Pain,,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Constipation, Abdominal Pain, Diarrhoea, Toxic Look (Typhos),,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Constipation, Abdominal Pain, Diarrhoea, Toxic Look (Typhos), Belly Pain,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Constipation, Abdominal Pain, Diarrhoea, Toxic Look (Typhos), Belly Pain,,,,,,
Typhoid, Chills, Fatigue, High Fever, Headache, Nausea, Constipation, Abdominal Pain, Diarrhoea, Toxic Look (Typhos), Belly Pain,,,,,,,
hepatitis A, Joint Pain, Vomiting, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,
hepatitis A, Joint Pain, Vomiting, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,
hepatitis A, Vomiting, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
hepatitis A, Joint Pain, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
hepatitis A, Joint Pain, Vomiting, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
hepatitis A, Joint Pain, Vomiting, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
hepatitis A, Joint Pain, Vomiting, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
hepatitis A, Joint Pain, Vomiting, Yellowish Skin, Dark Urine, Nausea, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
hepatitis A, Joint Pain, Vomiting, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
hepatitis A, Joint Pain, Vomiting, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
Hepatitis B,Itching, Fatigue, Lethargy, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,
Hepatitis B,Itching, Fatigue, Lethargy, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,
Hepatitis B, Fatigue, Lethargy, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis B,Itching, Lethargy, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis B,Itching, Fatigue, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis B,Itching, Fatigue, Lethargy, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis B,Itching, Fatigue, Lethargy, Yellowish Skin, Loss Of Appetite, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis B,Itching, Fatigue, Lethargy, Yellowish Skin, Dark Urine, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis B,Itching, Fatigue, Lethargy, Yellowish Skin, Dark Urine, Loss Of Appetite, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis B,Itching, Fatigue, Lethargy, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis C, Fatigue, Yellowish Skin, Nausea, Loss Of Appetite, Family History,,,,,,,,,,,,
Hepatitis C, Fatigue, Yellowish Skin, Nausea, Loss Of Appetite, Yellowing Of Eyes, Family History,,,,,,,,,,,
Hepatitis C, Yellowish Skin, Nausea, Loss Of Appetite, Yellowing Of Eyes, Family History,,,,,,,,,,,,
Hepatitis C, Fatigue, Nausea, Loss Of Appetite, Yellowing Of Eyes, Family History,,,,,,,,,,,,
Hepatitis C, Fatigue, Yellowish Skin, Loss Of Appetite, Yellowing Of Eyes, Family History,,,,,,,,,,,,
Hepatitis C, Fatigue, Yellowish Skin, Nausea, Yellowing Of Eyes, Family History,,,,,,,,,,,,
Hepatitis C, Fatigue, Yellowish Skin, Nausea, Loss Of Appetite, Family History,,,,,,,,,,,,
Hepatitis C, Fatigue, Yellowish Skin, Nausea, Loss Of Appetite, Yellowing Of Eyes,,,,,,,,,,,,
Hepatitis C, Fatigue, Yellowish Skin, Nausea, Loss Of Appetite, Yellowing Of Eyes, Family History,,,,,,,,,,,
Hepatitis C, Fatigue, Yellowish Skin, Nausea, Loss Of Appetite, Yellowing Of Eyes, Family History,,,,,,,,,,,
Hepatitis D, Joint Pain, Vomiting, Fatigue, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,
Hepatitis D, Vomiting, Fatigue, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,
Hepatitis D, Joint Pain, Fatigue, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,
Hepatitis D, Joint Pain, Vomiting, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,
Hepatitis D, Joint Pain, Vomiting, Fatigue, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,
Hepatitis D, Joint Pain, Vomiting, Fatigue, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,
Hepatitis D, Joint Pain, Vomiting, Fatigue, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,
Hepatitis D, Joint Pain, Vomiting, Fatigue, Yellowish Skin, Dark Urine, Nausea, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,
Hepatitis D, Joint Pain, Vomiting, Fatigue, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Yellowing Of Eyes,,,,,,,,,
Hepatitis D, Joint Pain, Vomiting, Fatigue, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain,,,,,,,,,
Hepatitis E, Joint Pain, Vomiting, Fatigue, High Fever, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes, Coma, Stomach Bleeding,,,,,
Hepatitis E, Joint Pain, Vomiting, Fatigue, High Fever, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes, Acute Liver Failure, Coma, Stomach Bleeding,,,,
Hepatitis E, Joint Pain, Vomiting, Fatigue, High Fever, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes, Acute Liver Failure, Coma, Stomach Bleeding,,,,
Hepatitis E, Vomiting, Fatigue, High Fever, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes, Acute Liver Failure, Coma, Stomach Bleeding,,,,,
Hepatitis E, Joint Pain, Fatigue, High Fever, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes, Acute Liver Failure, Coma, Stomach Bleeding,,,,,
Hepatitis E, Joint Pain, Vomiting, High Fever, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes, Acute Liver Failure, Coma, Stomach Bleeding,,,,,
Hepatitis E, Joint Pain, Vomiting, Fatigue, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes, Acute Liver Failure, Coma, Stomach Bleeding,,,,,
Hepatitis E, Joint Pain, Vomiting, Fatigue, High Fever, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes, Acute Liver Failure, Coma, Stomach Bleeding,,,,,
Hepatitis E, Joint Pain, Vomiting, Fatigue, High Fever, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes, Acute Liver Failure, Coma, Stomach Bleeding,,,,,
Hepatitis E, Joint Pain, Vomiting, Fatigue, High Fever, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes, Acute Liver Failure, Coma, Stomach Bleeding,,,,,
Alcoholic hepatitis, Vomiting, Yellowish Skin, Abdominal Pain, Swelling Of Stomach, Distention Of Abdomen, History Of Alcohol Consumption, Fluid Overload,,,,,,,,,,
Alcoholic hepatitis, Vomiting, Yellowish Skin, Abdominal Pain, Swelling Of Stomach, Distention Of Abdomen, History Of Alcohol Consumption, Fluid Overload,,,,,,,,,,
Alcoholic hepatitis, Yellowish Skin, Abdominal Pain, Swelling Of Stomach, Distention Of Abdomen, History Of Alcohol Consumption, Fluid Overload,,,,,,,,,,,
Alcoholic hepatitis, Vomiting, Abdominal Pain, Swelling Of Stomach, Distention Of Abdomen, History Of Alcohol Consumption, Fluid Overload,,,,,,,,,,,
Alcoholic hepatitis, Vomiting, Yellowish Skin, Swelling Of Stomach, Distention Of Abdomen, History Of Alcohol Consumption, Fluid Overload,,,,,,,,,,,
Alcoholic hepatitis, Vomiting, Yellowish Skin, Abdominal Pain, Distention Of Abdomen, History Of Alcohol Consumption, Fluid Overload,,,,,,,,,,,
Alcoholic hepatitis, Vomiting, Yellowish Skin, Abdominal Pain, Swelling Of Stomach, History Of Alcohol Consumption, Fluid Overload,,,,,,,,,,,
Alcoholic hepatitis, Vomiting, Yellowish Skin, Abdominal Pain, Swelling Of Stomach, Distention Of Abdomen, Fluid Overload,,,,,,,,,,,
Alcoholic hepatitis, Vomiting, Yellowish Skin, Abdominal Pain, Swelling Of Stomach, Distention Of Abdomen, History Of Alcohol Consumption,,,,,,,,,,,
Alcoholic hepatitis, Vomiting, Yellowish Skin, Abdominal Pain, Swelling Of Stomach, Distention Of Abdomen, History Of Alcohol Consumption, Fluid Overload,,,,,,,,,,
Tuberculosis, Chills, Vomiting, Fatigue, Weight Loss, Cough, High Fever, Breathlessness, Sweating, Loss Of Appetite, Mild Fever, Yellowing Of Eyes, Swelled Lymph Nodes, Malaise, Phlegm, Chest Pain, Blood In Sputum,
Tuberculosis, Chills, Vomiting, Fatigue, Weight Loss, Cough, High Fever, Breathlessness, Sweating, Loss Of Appetite, Mild Fever, Yellowing Of Eyes, Swelled Lymph Nodes, Malaise, Phlegm, Chest Pain, Blood In Sputum,
Tuberculosis, Vomiting, Fatigue, Weight Loss, Cough, High Fever, Breathlessness, Sweating, Loss Of Appetite, Mild Fever, Yellowing Of Eyes, Swelled Lymph Nodes, Malaise, Phlegm, Chest Pain, Blood In Sputum,,
Tuberculosis, Chills, Fatigue, Weight Loss, Cough, High Fever, Breathlessness, Sweating, Loss Of Appetite, Mild Fever, Yellowing Of Eyes, Swelled Lymph Nodes, Malaise, Phlegm, Chest Pain, Blood In Sputum,,
Tuberculosis, Chills, Vomiting, Weight Loss, Cough, High Fever, Breathlessness, Sweating, Loss Of Appetite, Mild Fever, Yellowing Of Eyes, Swelled Lymph Nodes, Malaise, Phlegm, Chest Pain, Blood In Sputum,,
Tuberculosis, Chills, Vomiting, Fatigue, Cough, High Fever, Breathlessness, Sweating, Loss Of Appetite, Mild Fever, Yellowing Of Eyes, Swelled Lymph Nodes, Malaise, Phlegm, Chest Pain, Blood In Sputum,,
Tuberculosis, Chills, Vomiting, Fatigue, Weight Loss, High Fever, Breathlessness, Sweating, Loss Of Appetite, Mild Fever, Yellowing Of Eyes, Swelled Lymph Nodes, Malaise, Phlegm, Chest Pain, Blood In Sputum,,
Tuberculosis, Chills, Vomiting, Fatigue, Weight Loss, Cough, Breathlessness, Sweating, Loss Of Appetite, Mild Fever, Yellowing Of Eyes, Swelled Lymph Nodes, Malaise, Phlegm, Chest Pain, Blood In Sputum,,
Tuberculosis, Chills, Vomiting, Fatigue, Weight Loss, Cough, High Fever, Sweating, Loss Of Appetite, Mild Fever, Yellowing Of Eyes, Swelled Lymph Nodes, Malaise, Phlegm, Chest Pain, Blood In Sputum,,
Tuberculosis, Chills, Vomiting, Fatigue, Weight Loss, Cough, High Fever, Breathlessness, Loss Of Appetite, Mild Fever, Yellowing Of Eyes, Swelled Lymph Nodes, Malaise, Phlegm, Chest Pain, Blood In Sputum,,
Common Cold, Continuous Sneezing, Chills, Fatigue, Cough, High Fever, Headache, Swelled Lymph Nodes, Malaise, Phlegm, Throat Irritation, Redness Of Eyes, Sinus Pressure, Runny Nose, Congestion, Chest Pain, Loss Of Smell, Muscle Pain
Common Cold, Continuous Sneezing, Chills, Fatigue, Cough, High Fever, Headache, Swelled Lymph Nodes, Malaise, Phlegm, Throat Irritation, Redness Of Eyes, Sinus Pressure, Runny Nose, Congestion, Chest Pain, Loss Of Smell, Muscle Pain
Common Cold, Chills, Fatigue, Cough, High Fever, Headache, Swelled Lymph Nodes, Malaise, Phlegm, Throat Irritation, Redness Of Eyes, Sinus Pressure, Runny Nose, Congestion, Chest Pain, Loss Of Smell, Muscle Pain,
Common Cold, Continuous Sneezing, Fatigue, Cough, High Fever, Headache, Swelled Lymph Nodes, Malaise, Phlegm, Throat Irritation, Redness Of Eyes, Sinus Pressure, Runny Nose, Congestion, Chest Pain, Loss Of Smell, Muscle Pain,
Common Cold, Continuous Sneezing, Chills, Cough, High Fever, Headache, Swelled Lymph Nodes, Malaise, Phlegm, Throat Irritation, Redness Of Eyes, Sinus Pressure, Runny Nose, Congestion, Chest Pain, Loss Of Smell, Muscle Pain,
Common Cold, Continuous Sneezing, Chills, Fatigue, High Fever, Headache, Swelled Lymph Nodes, Malaise, Phlegm, Throat Irritation, Redness Of Eyes, Sinus Pressure, Runny Nose, Congestion, Chest Pain, Loss Of Smell, Muscle Pain,
Common Cold, Continuous Sneezing, Chills, Fatigue, Cough, Headache, Swelled Lymph Nodes, Malaise, Phlegm, Throat Irritation, Redness Of Eyes, Sinus Pressure, Runny Nose, Congestion, Chest Pain, Loss Of Smell, Muscle Pain,
Common Cold, Continuous Sneezing, Chills, Fatigue, Cough, High Fever, Swelled Lymph Nodes, Malaise, Phlegm, Throat Irritation, Redness Of Eyes, Sinus Pressure, Runny Nose, Congestion, Chest Pain, Loss Of Smell, Muscle Pain,
Common Cold, Continuous Sneezing, Chills, Fatigue, Cough, High Fever, Headache, Malaise, Phlegm, Throat Irritation, Redness Of Eyes, Sinus Pressure, Runny Nose, Congestion, Chest Pain, Loss Of Smell, Muscle Pain,
Common Cold, Continuous Sneezing, Chills, Fatigue, Cough, High Fever, Headache, Swelled Lymph Nodes, Phlegm, Throat Irritation, Redness Of Eyes, Sinus Pressure, Runny Nose, Congestion, Chest Pain, Loss Of Smell, Muscle Pain,
Pneumonia, Chills, Fatigue, Cough, High Fever, Breathlessness, Sweating, Malaise, Chest Pain, Fast Heart Rate, Rusty Sputum,,,,,,,
Pneumonia, Chills, Fatigue, Cough, High Fever, Breathlessness, Sweating, Malaise, Phlegm, Chest Pain, Fast Heart Rate, Rusty Sputum,,,,,,
Pneumonia, Chills, Fatigue, Cough, High Fever, Breathlessness, Sweating, Malaise, Phlegm, Chest Pain, Fast Heart Rate, Rusty Sputum,,,,,,
Pneumonia, Fatigue, Cough, High Fever, Breathlessness, Sweating, Malaise, Phlegm, Chest Pain, Fast Heart Rate, Rusty Sputum,,,,,,,
Pneumonia, Chills, Cough, High Fever, Breathlessness, Sweating, Malaise, Phlegm, Chest Pain, Fast Heart Rate, Rusty Sputum,,,,,,,
Pneumonia, Chills, Fatigue, High Fever, Breathlessness, Sweating, Malaise, Phlegm, Chest Pain, Fast Heart Rate, Rusty Sputum,,,,,,,
Pneumonia, Chills, Fatigue, Cough, Breathlessness, Sweating, Malaise, Phlegm, Chest Pain, Fast Heart Rate, Rusty Sputum,,,,,,,
Pneumonia, Chills, Fatigue, Cough, High Fever, Sweating, Malaise, Phlegm, Chest Pain, Fast Heart Rate, Rusty Sputum,,,,,,,
Pneumonia, Chills, Fatigue, Cough, High Fever, Breathlessness, Malaise, Phlegm, Chest Pain, Fast Heart Rate, Rusty Sputum,,,,,,,
Pneumonia, Chills, Fatigue, Cough, High Fever, Breathlessness, Sweating, Phlegm, Chest Pain, Fast Heart Rate, Rusty Sputum,,,,,,,
Dimorphic hemmorhoids(piles), Constipation, Pain During Bowel Movements, Pain In Anal Region, Bloody Stool, Irritation In Anus,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), Constipation, Pain During Bowel Movements, Pain In Anal Region, Bloody Stool, Irritation In Anus,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), Constipation, Pain During Bowel Movements, Pain In Anal Region, Bloody Stool, Irritation In Anus,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), Pain During Bowel Movements, Pain In Anal Region, Bloody Stool, Irritation In Anus,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), Constipation, Pain In Anal Region, Bloody Stool, Irritation In Anus,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), Constipation, Pain During Bowel Movements, Bloody Stool, Irritation In Anus,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), Constipation, Pain During Bowel Movements, Pain In Anal Region, Irritation In Anus,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), Constipation, Pain During Bowel Movements, Pain In Anal Region, Bloody Stool,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), Constipation, Pain During Bowel Movements, Pain In Anal Region, Bloody Stool, Irritation In Anus,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), Constipation, Pain During Bowel Movements, Pain In Anal Region, Bloody Stool, Irritation In Anus,,,,,,,,,,,,
Heart attack, Vomiting, Breathlessness, Sweating, Chest Pain,,,,,,,,,,,,,
Heart attack, Vomiting, Breathlessness, Sweating, Chest Pain,,,,,,,,,,,,,
Heart attack, Breathlessness, Sweating, Chest Pain,,,,,,,,,,,,,,
Heart attack, Vomiting, Sweating, Chest Pain,,,,,,,,,,,,,,
Heart attack, Vomiting, Breathlessness, Chest Pain,,,,,,,,,,,,,,
Heart attack, Vomiting, Breathlessness, Sweating,,,,,,,,,,,,,,
Heart attack, Vomiting, Breathlessness, Sweating, Chest Pain,,,,,,,,,,,,,
Heart attack, Breathlessness, Sweating, Chest Pain,,,,,,,,,,,,,,
Heart attack, Vomiting, Sweating, Chest Pain,,,,,,,,,,,,,,
Heart attack, Vomiting, Breathlessness, Chest Pain,,,,,,,,,,,,,,
Varicose veins, Fatigue, Cramps, Bruising, Obesity, Swollen Legs, Swollen Blood Vessels, Prominent Veins On Calf,,,,,,,,,,
Varicose veins, Fatigue, Cramps, Bruising, Obesity, Swollen Legs, Swollen Blood Vessels, Prominent Veins On Calf,,,,,,,,,,
Varicose veins, Cramps, Bruising, Obesity, Swollen Legs, Swollen Blood Vessels, Prominent Veins On Calf,,,,,,,,,,,
Varicose veins, Fatigue, Bruising, Obesity, Swollen Legs, Swollen Blood Vessels, Prominent Veins On Calf,,,,,,,,,,,
Varicose veins, Fatigue, Cramps, Obesity, Swollen Legs, Swollen Blood Vessels, Prominent Veins On Calf,,,,,,,,,,,
Varicose veins, Fatigue, Cramps, Bruising, Swollen Legs, Swollen Blood Vessels, Prominent Veins On Calf,,,,,,,,,,,
Varicose veins, Fatigue, Cramps, Bruising, Obesity, Swollen Blood Vessels, Prominent Veins On Calf,,,,,,,,,,,
Varicose veins, Fatigue, Cramps, Bruising, Obesity, Swollen Legs, Prominent Veins On Calf,,,,,,,,,,,
Varicose veins, Fatigue, Cramps, Bruising, Obesity, Swollen Legs, Swollen Blood Vessels,,,,,,,,,,,
Varicose veins, Fatigue, Cramps, Bruising, Obesity, Swollen Legs, Prominent Veins On Calf,,,,,,,,,,,
Hypothyroidism, Fatigue, Weight Gain, Cold Hands And Feets, Mood Swings, Lethargy, Dizziness, Puffy Face And Eyes, Enlarged Thyroid, Brittle Nails, Swollen Extremeties, Depression, Irritability, Abnormal Menstruation,,,,
Hypothyroidism, Fatigue, Weight Gain, Cold Hands And Feets, Mood Swings, Lethargy, Dizziness, Puffy Face And Eyes, Enlarged Thyroid, Brittle Nails, Swollen Extremeties, Depression, Irritability, Abnormal Menstruation,,,,
Hypothyroidism, Weight Gain, Cold Hands And Feets, Mood Swings, Lethargy, Dizziness, Puffy Face And Eyes, Enlarged Thyroid, Brittle Nails, Swollen Extremeties, Depression, Irritability, Abnormal Menstruation,,,,,
Hypothyroidism, Weight Gain, Cold Hands And Feets, Mood Swings, Lethargy, Dizziness, Puffy Face And Eyes, Enlarged Thyroid, Brittle Nails, Swollen Extremeties, Depression, Irritability, Abnormal Menstruation,,,,,
Hypothyroidism, Fatigue, Cold Hands And Feets, Mood Swings, Lethargy, Dizziness, Puffy Face And Eyes, Enlarged Thyroid, Brittle Nails, Swollen Extremeties, Depression, Irritability, Abnormal Menstruation,,,,,
Hypothyroidism, Fatigue, Weight Gain, Mood Swings, Lethargy, Dizziness, Puffy Face And Eyes, Enlarged Thyroid, Brittle Nails, Swollen Extremeties, Depression, Irritability, Abnormal Menstruation,,,,,
Hypothyroidism, Fatigue, Weight Gain, Cold Hands And Feets, Lethargy, Dizziness, Puffy Face And Eyes, Enlarged Thyroid, Brittle Nails, Swollen Extremeties, Depression, Irritability, Abnormal Menstruation,,,,,
Hypothyroidism, Fatigue, Weight Gain, Cold Hands And Feets, Mood Swings, Dizziness, Puffy Face And Eyes, Enlarged Thyroid, Brittle Nails, Swollen Extremeties, Depression, Irritability, Abnormal Menstruation,,,,,
Hypothyroidism, Fatigue, Weight Gain, Cold Hands And Feets, Mood Swings, Lethargy, Puffy Face And Eyes, Enlarged Thyroid, Brittle Nails, Swollen Extremeties, Depression, Irritability, Abnormal Menstruation,,,,,
Hypothyroidism, Fatigue, Weight Gain, Cold Hands And Feets, Mood Swings, Lethargy, Dizziness, Enlarged Thyroid, Brittle Nails, Swollen Extremeties, Depression, Irritability, Abnormal Menstruation,,,,,
Hyperthyroidism, Fatigue, Mood Swings, Weight Loss, Restlessness, Sweating, Diarrhoea, Fast Heart Rate, Excessive Hunger, Muscle Weakness, Irritability, Abnormal Menstruation,,,,,,
Hyperthyroidism, Fatigue, Mood Swings, Weight Loss, Restlessness, Sweating, Diarrhoea, Fast Heart Rate, Excessive Hunger, Muscle Weakness, Irritability, Abnormal Menstruation,,,,,,
